symbol,ratio,type,2020,2021,2022,2023
ACST,Operating Margin,Profitability,-0.9320906421217025,-0.4418457305989077,-0.4802926114170532,-0.1090329659292197
ACST,Quick Ratio,Liquidity,0.8263977116818337,1.3752035949099526,1.1302853806876352,0.9860722488267584
ACST,ROE,Profitability,-4.806251135084087,-0.6411854504021991,-0.6984032895688742,-0.7216520456901065
ACST,ROI,Profitability,-0.9785709795627078,-0.6121804322015028,-0.6751273463384262,-0.6467706834510845
ADCP,Cash Ratio,Liquidity,0.0,7.104028914906602e-05,0.0,0.0854554204510221
ADCP,Current Ratio,Liquidity,1.337158679957048,1.033017163383632,0.9604865366249652,1.332553931337962
ADCP,DER,Solvency,0.2250729373045796,0.4374121534778776,0.3214350937720689,0.4646854601792078
ADCP,Debt Ratio,Solvency,0.0948107270677616,0.1536540094635529,0.1249930054316537,0.1800429405176598
ADCP,GPM,Profitability,0.17973220845625,0.2604412326680559,0.2585323633604147,0.2632864967337817
ADCP,Interest Coverage Ratio,Solvency,0.0,0.0,21.669396272630003,10.68402474627359
ADCP,NPM,Profitability,0.1363574147087088,0.2312636816861631,0.1771914176990187,0.1781789638476678
ADCP,Operating Margin,Profitability,0.1426825504895464,0.2082462888907343,0.202291656941445,0.2040657703325655
ADCP,Quick Ratio,Liquidity,0.17534729912419,0.1140461360252569,0.0786344853256405,0.1391026515201633
ADCP,ROE,Profitability,0.0676462371821589,0.0620709447581156,0.0427256535934904,0.0451275861826958
ADCP,ROI,Profitability,0.0552532082697706,0.0432116752756888,0.0323572861701594,0.0308213890048761
ADES,Cash Ratio,Liquidity,1.169280721729798,0.6168157783930215,0.7207550280897773,2.071278454155428
ADES,Current Ratio,Liquidity,2.970374647933362,2.509228034743467,3.2008566302474493,4.116641121232607
ADES,DER,Solvency,0.0120255585946199,0.0041121159971417,0.0018069635520768,0.0003942634095807
ADES,Debt Ratio,Solvency,0.008786064950547,0.0030580289362537,0.0014657428192578,0.0003270697713676
ADES,GPM,Profitability,0.5087367308023595,0.5342544715664519,0.5195632505855962,0.5316061870470584
ADES,Interest Coverage Ratio,Solvency,-532.7697368421053,472.9409221902017,1074.9097387173397,2801.693641618497
ADES,NPM,Profitability,0.2016576472754706,0.2842103574579579,0.2827066317994224,0.2594639596970065
ADES,Operating Margin,Profitability,0.2620098490563796,0.349738791006069,0.3417480511110836,0.3173041309257298
ADES,Quick Ratio,Liquidity,2.5339046301189265,2.142878967980415,2.6192706472622773,3.593482902407518
ADES,ROE,Profitability,0.1938436106368521,0.2740290178456347,0.2734208546967567,0.2288103650809801
ADES,ROI,Profitability,0.1938436106368521,0.2740290178456347,0.2734208546967567,0.2288103650809801
ADHI,Cash Ratio,Liquidity,0.0019291473849354,0.0057664990632594,6.0561819733008494e-05,0.0093028184466081
ADHI,Current Ratio,Liquidity,1.1110620245017289,1.0152113634222777,1.2072055062606275,1.1440834693553894
ADHI,DER,Solvency,1.7604676503768335,1.8795295139780688,1.2484715269412665,1.400111020030531
ADHI,Debt Ratio,Solvency,0.2564071214549132,0.2637828564481,0.2620476350034146,0.2979047179307765
ADHI,GPM,Profitability,0.1603033348841097,0.152329061347268,0.1325770703968779,0.1157240054830734
ADHI,Interest Coverage Ratio,Solvency,1.3565341172562089,1.4520050177448929,1.5071638740187134,1.9788700057169355
ADHI,NPM,Profitability,0.0022144062369155,0.0047860300815455,0.0059961706515362,0.0106618843990773
ADHI,Operating Margin,Profitability,0.0920408706544104,0.072161866876903,0.0557733719020134,0.0528102475246768
ADHI,Quick Ratio,Liquidity,0.8776637668527557,0.7758393681484063,0.925056330660073,0.916527621076218
ADHI,ROE,Profitability,0.0043215094134015,0.0098548157454634,0.0096798239688389,0.0248405751933689
ADHI,ROI,Profitability,0.0015677764965552,0.0034248368827444,0.0043083973047286,0.0103542026347475
ADMF,Current Ratio,Liquidity,2.376387864739759,7.832100298205865,2.1809227421931463,2.422545266023438
ADMF,DER,Solvency,2.118033635368457,1.24194176142016,1.0647496019391598,1.4583202620978446
ADMF,Debt Ratio,Solvency,0.5808533919208797,0.4686324767579085,0.4290433002419347,0.5226242454096661
ADMF,GPM,Profitability,0.5356870993924937,0.5488162401198148,0.5653572827866936,0.5748834771221297
ADMF,NPM,Profitability,0.1320060217748738,0.1822267505882904,0.2429744501936086,0.2548886901516092
ADMF,Operating Margin,Profitability,0.0060162401543131,-0.0247633171109157,0.0511067254628046,0.0837146191518783
ADMF,ROE,Profitability,0.1280295943904184,0.1356210092761624,0.1600372035127037,0.1749473055976564
ADMF,ROI,Profitability,0.0413926323695032,0.0610431903679714,0.0781456361841958,0.0715531712599943
ADMG,Cash Ratio,Liquidity,0.2932115327746689,0.2271666589629754,0.0,0.0936204454319717
ADMG,Current Ratio,Liquidity,3.48641949762769,3.4567055075835893,2.715804929644447,2.0142209697255957
ADMG,GPM,Profitability,-0.1172828537059469,-0.0015936165659821,-0.0714237095962624,-0.0186524046904144
ADMG,NPM,Profitability,-0.253207045601674,0.0018435790369098,-0.187316374026853,-0.1823944483099096
ADMG,Operating Margin,Profitability,-0.1781493109000349,-0.0320070631998621,-0.1096631793817806,-0.0683678890654323
ADMG,Quick Ratio,Liquidity,1.9389969454477296,1.978502660046712,1.3217870971858012,0.9654696234798452
